Property,Field,Mown,Year,Date,Time ,Surveyor,Point,<50_Males,<50_Females,<50_Total,>50_Male,>50_Females,>50_Total,Total_Counts ,Notes
Dexter Drumlin,Main Field,N,2024,4/29/2024,6:28,Scott Handler & Marion Larson,A,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,4/29/2024,6:58,Scott Handler & Marion Larson,B,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,4/29/2024,6:48,Scott Handler & Marion Larson,C,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,4/29/2024,6:40,Scott Handler & Marion Larson,D,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,4/29/2024,7:10,Scott Handler & Marion Larson,E,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/2/2024,7:53,Eric Mueller,A,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/2/2024,8:01,Eric Mueller,B,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/2/2024,8:13,Eric Mueller,C,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/2/2024,8:24,Eric Mueller,D,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/2/2024,8:43,Eric Mueller,E,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/6/2024,6:40,Scott Handler & Marion Larson,A,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/6/2024,7:10,Scott Handler & Marion Larson,B,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/6/2024,7:00,Scott Handler & Marion Larson,C,0,0,0,2,0,2,2,
Dexter Drumlin,Main Field,N,2024,5/6/2024,6:50,Scott Handler & Marion Larson,D,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/6/2024,7:20,Scott Handler & Marion Larson,E,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/9/2024,8:13,Eric Mueller,A,1,0,1,0,0,0,1,
Dexter Drumlin,Main Field,N,2024,5/9/2024,8:22,Eric Mueller,B,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/9/2024,8:33,Eric Mueller,C,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/9/2024,8:45,Eric Mueller,D,0,0,0,0,0,0,0,
Dexter Drumlin,Main Field,N,2024,5/9/2024,9:08,Eric Mueller,E,0,0,0,0,0,0,0,
