Property,Field,Mown,Year,Date,Time ,Surveyor,Point,<50_Males,<50_Females,<50_Total,>50_Male,>50_Females,>50_Total,Total_Counts ,Notes
Appleton Farms,Lamson Middle,N,2023,5/2/2023,6:55,Pat Hand,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,5/7/2023,6:27,Sharon Stavropoulos,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,5/8/2023,6:51,Pat Hand,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,5/9/2023,N/A,John Sofia,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,5/11/2023,N/A,John Sofia,1A,1,0,1,0,0,0,1,
Appleton Farms,Lamson Middle,Partial,2023,5/14/2023,5:30,Josh Bennett,1A,0,0,0,1,0,1,1,
Appleton Farms,Lamson Middle,Partial,2023,5/14/2023,6:28,Sharon Stavropoulos,1A,1,0,1,0,0,0,1,
Appleton Farms,Lamson Middle,Partial,2023,5/21/2023,6:34,Sharon Stavropoulos,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,5/23/2023,6:46,Pat Hand,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Partial,2023,5/25/2023,7:20,Greg Power,1A,2,0,2,0,0,0,2,
Appleton Farms,Lamson Middle,N,2023,5/28/2023,6:41,Sharon Stavropoulos,1A,0,0,0,1,0,1,1,
Appleton Farms,Lamson Middle,Partial,2023,5/29/2023,6:46,Josh Bennett,1A,0,0,0,1,0,1,1,
Appleton Farms,Lamson Middle,N,2023,6/11/2023,6:43,Sharon Stavropoulos,1A,1,0,1,0,0,0,1,
Appleton Farms,Lamson Middle,N,2023,6/14/2023,7:16,Pat Hand,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,6/18/2023,5:27,Josh Bennett,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,6/19/2023,6:51,Sharon Stavropoulos,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Y,2023,6/25/2023,5:20,Josh Bennett,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Y,2023,7/1/2023,6:35,Sharon Stavropoulos,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Y,2023,7/9/2023,6:53,Sharon Stavropoulos,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Y,2023,7/16/2023,5:21,Josh Bennett,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Y,2023,7/15/2023,7:05,Pat Hand,1A,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,5/2/2023,7:04,Pat Hand,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,5/7/2023,6:37,Sharon Stavropoulos,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,5/8/2023,7:01,Pat Hand,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,5/9/2023,9:00am,John Sofia,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,5/11/2023,8:10,John Sofia,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Partial,2023,5/14/2023,5:43,Josh Bennett,1B,0,0,0,2,0,2,2,* 1 Flyover seen additionally. Noticed one male carrying nesting material 
Appleton Farms,Lamson Middle,Partial,2023,5/14/2023,6:36,Sharon Stavropoulos,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Partial,2023,5/21/2023,6:43,Sharon Stavropoulos,1B,1,0,1,0,0,0,1,
Appleton Farms,Lamson Middle,N,2023,5/23/2023,6:54,Pat Hand,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Partial,2023,5/25/2023,7:40,Greg Power,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,5/28/2023,6:50,Sharon Stavropoulos,1B,0,0,0,1,0,1,1,
Appleton Farms,Lamson Middle,Partial,2023,5/29/2023,6:54,Josh Bennett,1B,1,1,2,0,0,0,2,
Appleton Farms,Lamson Middle,N,2023,6/11/2023,6:52,Sharon Stavropoulos,1B,0,0,0,1,0,1,1,
Appleton Farms,Lamson Middle,N,2023,6/14/2023,7:30,Pat Hand,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,N,2023,6/18/2023,5:51,Josh Bennett,1B,1,1,2,0,0,0,2,
Appleton Farms,Lamson Middle,N,2023,6/19/2023,7:00,Sharon Stavropoulos,1B,1,1,2,0,0,0,2,
Appleton Farms,Lamson Middle,Y,2023,6/25/2023,5:53,Josh Bennett,1B,0,0,0,0,0,0,0,
Appleton Farms,Lamson Middle,Y,2023,7/1/2023,6:43,Sharon Stavropoulos,1B,0,0,0,0,0,0,0,
